Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,3,CTGAN,Deep Tabular,--,RF,1.0,0.725,0.9762,0.8515,1280,,,,19.6344,15.3394,15.3394,3.4877,0.0386,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,3,CTGAN,Deep Tabular,--,LightGBM,0.9697,0.8,0.9535,0.8932,1280,,,,19.6344,15.3394,15.3394,0.7486,0.0094,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,DT,0.8857,0.775,0.7089,0.8754,1280,,,,13.3463,10.4268,10.4268,0.3049,0.0011,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,RF,0.9655,0.7,0.981,0.8355,1280,,,,13.3463,10.4268,10.4268,1.9982,0.0186,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,LightGBM,1.0,0.9,0.9944,0.9487,1280,,,,13.3463,10.4268,10.4268,0.7209,0.01,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,DT,0.8372,0.9,0.7635,0.9394,1280,,,,19.2893,15.0697,15.0697,0.2907,0.0007,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,RF,1.0,0.9,0.9826,0.9487,1280,,,,19.2893,15.0697,15.0697,2.2499,0.0209,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,LightGBM,0.9744,0.95,0.982,0.9733,1280,,,,19.2893,15.0697,15.0697,1.0241,0.0122,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,DT,0.881,0.925,0.8224,0.9551,1280,,,,13.8693,10.8354,10.8354,0.243,0.001,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,RF,1.0,0.875,0.9879,0.9354,1280,,,,13.8693,10.8354,10.8354,2.737,0.0311,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,LightGBM,0.9744,0.95,0.9773,0.9733,1280,,,,13.8693,10.8354,10.8354,1.1272,0.0127,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,DT,0.7609,0.875,0.6783,0.921,1280,,,,19.0291,14.8665,14.8665,0.2735,0.0007,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,RF,0.973,0.9,0.9975,0.9474,1280,,,,19.0291,14.8665,14.8665,2.4338,0.0203,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,LightGBM,1.0,1.0,1.0,1.0,1280,,,,19.0291,14.8665,14.8665,0.7581,0.0096,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,DT,0.8421,0.8,0.6937,0.8869,1280,,,,14.078,10.9984,10.9984,0.2261,0.0007,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,RF,1.0,0.95,1.0,0.9747,1280,,,,14.078,10.9984,10.9984,1.9785,0.0193,success,success,42
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,LightGBM,1.0,1.0,1.0,1.0,1280,,,,14.078,10.9984,10.9984,0.7112,0.0084,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,CTGAN,Deep Tabular,--,DT,0.822,0.8509,0.7146,0.9128,3580,,,,19.7309,5.5114,5.5114,0.3345,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,CTGAN,Deep Tabular,--,RF,1.0,0.9035,0.9823,0.9505,3580,,,,19.7309,5.5114,5.5114,2.3496,0.0322,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,CTGAN,Deep Tabular,--,LightGBM,0.9907,0.9386,0.9918,0.9683,3580,,,,19.7309,5.5114,5.5114,0.8556,0.0185,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,TVAE,Deep Tabular,--,DT,0.9216,0.8246,0.7777,0.9045,3580,,,,13.3916,3.7407,3.7407,0.2251,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,TVAE,Deep Tabular,--,RF,1.0,0.8684,0.989,0.9319,3580,,,,13.3916,3.7407,3.7407,2.209,0.0352,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,1,TVAE,Deep Tabular,--,LightGBM,0.9906,0.9211,0.9915,0.9592,3580,,,,13.3916,3.7407,3.7407,0.8506,0.0184,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,CTGAN,Deep Tabular,--,DT,0.8678,0.9211,0.8073,0.9521,3580,,,,20.9735,5.8585,5.8585,0.4208,0.0017,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,CTGAN,Deep Tabular,--,RF,0.9902,0.886,0.9905,0.9408,3580,,,,20.9735,5.8585,5.8585,3.0894,0.034,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,CTGAN,Deep Tabular,--,LightGBM,0.9817,0.9386,0.9958,0.9679,3580,,,,20.9735,5.8585,5.8585,0.9887,0.0202,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,TVAE,Deep Tabular,--,DT,0.9159,0.8596,0.8016,0.923,3580,,,,13.1707,3.679,3.679,0.2145,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,TVAE,Deep Tabular,--,RF,1.0,0.8596,0.9925,0.9272,3580,,,,13.1707,3.679,3.679,2.1585,0.0322,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,2,TVAE,Deep Tabular,--,LightGBM,0.9815,0.9298,0.9965,0.9633,3580,,,,13.1707,3.679,3.679,0.852,0.0198,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,CTGAN,Deep Tabular,--,DT,0.8833,0.9298,0.8285,0.9576,3580,,,,19.9238,5.5653,5.5653,0.1159,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,CTGAN,Deep Tabular,--,RF,0.991,0.9649,0.9873,0.9818,3580,,,,19.9238,5.5653,5.5653,2.783,0.0551,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,CTGAN,Deep Tabular,--,LightGBM,0.9825,0.9825,0.9919,0.9902,3580,,,,19.9238,5.5653,5.5653,1.4176,0.0256,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,DT,0.8957,0.9035,0.819,0.9449,3580,,,,13.1555,3.6747,3.6747,0.2895,0.0024,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,RF,1.0,0.9035,0.9925,0.9505,3580,,,,13.1555,3.6747,3.6747,3.0233,0.0321,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,3,TVAE,Deep Tabular,--,LightGBM,0.9911,0.9737,0.9943,0.9863,3580,,,,13.1555,3.6747,3.6747,0.8577,0.0192,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,DT,0.8359,0.9304,0.7849,0.9545,3582,,,,20.2283,5.6472,5.6472,0.3724,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,RF,0.9905,0.9043,0.9947,0.9505,3582,,,,20.2283,5.6472,5.6472,2.5031,0.044,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,CTGAN,Deep Tabular,--,LightGBM,1.0,0.9652,0.9967,0.9825,3582,,,,20.2283,5.6472,5.6472,1.3408,0.0246,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,DT,0.8947,0.887,0.8052,0.9362,3582,,,,13.6422,3.8085,3.8085,0.2127,0.0011,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,RF,1.0,0.8957,0.9955,0.9464,3582,,,,13.6422,3.8085,3.8085,2.8166,0.0564,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,4,TVAE,Deep Tabular,--,LightGBM,0.9821,0.9565,0.9974,0.977,3582,,,,13.6422,3.8085,3.8085,1.2928,0.0262,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,DT,0.8829,0.8522,0.7675,0.9172,3582,,,,20.4147,5.6993,5.6993,0.3235,0.0011,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,RF,0.9897,0.8348,0.9899,0.9132,3582,,,,20.4147,5.6993,5.6993,2.3367,0.0333,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,CTGAN,Deep Tabular,--,LightGBM,0.9907,0.9217,0.9954,0.9596,3582,,,,20.4147,5.6993,5.6993,0.9686,0.0199,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,DT,0.9091,0.8696,0.8039,0.9279,3582,,,,14.545,4.0606,4.0606,0.2137,0.0012,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,RF,1.0,0.8609,0.992,0.9278,3582,,,,14.545,4.0606,4.0606,2.0986,0.0321,success,success,42
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,,,5,TVAE,Deep Tabular,--,LightGBM,0.9907,0.9217,0.9941,0.9596,3582,,,,14.545,4.0606,4.0606,1.2105,0.0247,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,CTGAN,Deep Tabular,--,DT,0.7692,0.6667,0.5177,0.8153,3960,,,,10.5248,2.6578,2.6578,0.1935,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,CTGAN,Deep Tabular,--,RF,0.8462,0.7333,0.8533,0.8555,3960,,,,10.5248,2.6578,2.6578,2.0163,0.0243,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,CTGAN,Deep Tabular,--,LightGBM,0.9231,0.8,0.8536,0.894,3960,,,,10.5248,2.6578,2.6578,0.5526,0.0162,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,TVAE,Deep Tabular,--,DT,0.4737,0.6,0.2901,0.7707,3960,,,,6.4025,1.6168,1.6168,0.2156,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,TVAE,Deep Tabular,--,RF,0.6667,0.6667,0.7721,0.8145,3960,,,,6.4025,1.6168,1.6168,2.7975,0.0244,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,1,TVAE,Deep Tabular,--,LightGBM,0.8462,0.7333,0.8146,0.8555,3960,,,,6.4025,1.6168,1.6168,0.5442,0.014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,CTGAN,Deep Tabular,--,DT,0.5714,0.5333,0.3116,0.7281,3960,,,,10.7307,2.7098,2.7098,0.2148,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,CTGAN,Deep Tabular,--,RF,0.8889,0.5333,0.7595,0.7299,3960,,,,10.7307,2.7098,2.7098,2.061,0.031,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,CTGAN,Deep Tabular,--,LightGBM,0.8889,0.5333,0.7659,0.7299,3960,,,,10.7307,2.7098,2.7098,0.59,0.0182,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,TVAE,Deep Tabular,--,DT,0.5294,0.6,0.3235,0.7715,3960,,,,4.6684,1.1789,1.1789,0.1433,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,TVAE,Deep Tabular,--,RF,0.8,0.5333,0.7176,0.7296,3960,,,,4.6684,1.1789,1.1789,2.6118,0.0366,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,2,TVAE,Deep Tabular,--,LightGBM,0.8182,0.6,0.7619,0.7738,3960,,,,4.6684,1.1789,1.1789,0.7775,0.0209,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,CTGAN,Deep Tabular,--,DT,0.5217,0.8,0.4203,0.8895,3960,,,,9.9322,2.5081,2.5081,0.2042,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,CTGAN,Deep Tabular,--,RF,0.8,0.8,0.921,0.8931,3960,,,,9.9322,2.5081,2.5081,1.9639,0.0248,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,CTGAN,Deep Tabular,--,LightGBM,0.8235,0.9333,0.9337,0.9646,3960,,,,9.9322,2.5081,2.5081,0.5325,0.015,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,TVAE,Deep Tabular,--,DT,0.6364,0.9333,0.5949,0.9622,3960,,,,6.4664,1.6329,1.6329,0.3744,0.0011,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,TVAE,Deep Tabular,--,RF,0.6,0.8,0.8782,0.8909,3960,,,,6.4664,1.6329,1.6329,3.0779,0.0265,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,3,TVAE,Deep Tabular,--,LightGBM,0.6667,0.9333,0.8947,0.9627,3960,,,,6.4664,1.6329,1.6329,0.5778,0.0141,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,CTGAN,Deep Tabular,--,DT,0.75,0.6,0.4559,0.7734,3960,,,,10.1791,2.5705,2.5705,0.232,0.0014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,CTGAN,Deep Tabular,--,RF,0.8182,0.6,0.8056,0.7738,3960,,,,10.1791,2.5705,2.5705,2.013,0.0232,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,CTGAN,Deep Tabular,--,LightGBM,0.8889,0.5333,0.7975,0.7299,3960,,,,10.1791,2.5705,2.5705,0.565,0.0149,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,TVAE,Deep Tabular,--,DT,0.5,0.6,0.3059,0.7711,3960,,,,4.4555,1.1251,1.1251,0.2774,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,TVAE,Deep Tabular,--,RF,1.0,0.6,0.7542,0.7746,3960,,,,4.4555,1.1251,1.1251,2.7441,0.0237,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,4,TVAE,Deep Tabular,--,LightGBM,1.0,0.6,0.7551,0.7746,3960,,,,4.4555,1.1251,1.1251,0.7524,0.0206,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,CTGAN,Deep Tabular,--,DT,0.55,0.7333,0.4073,0.8525,3960,,,,9.2009,2.3234,2.3234,0.1867,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,CTGAN,Deep Tabular,--,RF,0.8125,0.8667,0.879,0.9296,3960,,,,9.2009,2.3234,2.3234,2.0734,0.0248,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,CTGAN,Deep Tabular,--,LightGBM,0.8571,0.8,0.8814,0.8935,3960,,,,9.2009,2.3234,2.3234,0.5235,0.0153,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,TVAE,Deep Tabular,--,DT,0.4348,0.6667,0.2948,0.8112,3960,,,,4.9769,1.2568,1.2568,0.4277,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,TVAE,Deep Tabular,--,RF,0.8571,0.8,0.8676,0.8935,3960,,,,4.9769,1.2568,1.2568,3.3485,0.0258,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,,,5,TVAE,Deep Tabular,--,LightGBM,0.9167,0.7333,0.8419,0.8559,3960,,,,4.9769,1.2568,1.2568,0.5292,0.0161,success,success,42
